Code,latitude,longitude,target_dose_rate,target_dose_rate_0_1m,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled
168,51.10723,30.15733,0.1,0.11,4.0,4.0,13.0,14.0,57.0,56.0,131.0,130.0,63.0,63.0,121.0,8.5,5.78
169,51.1073,30.152575,0.1,0.1,3.0,3.0,15.0,16.0,57.0,57.0,133.0,132.0,62.0,62.0,122.0,20.9,4.71
170,51.106864,30.14751,0.12,0.12,3.0,4.0,15.0,16.0,54.0,54.0,134.0,133.0,61.0,61.0,123.0,8.3,5.83
171,51.106864,30.14275,0.11,0.12,3.0,4.0,14.0,15.0,56.0,55.0,131.0,129.0,61.0,61.0,124.0,1.9,7.29
172,51.10651,30.13886,0.13,0.14,4.0,5.0,15.0,15.0,53.0,53.0,135.0,133.0,62.0,62.0,122.0,13.4,5.29
173,51.106864,30.133231,0.11,0.12,4.0,4.0,15.0,16.0,54.0,53.0,135.0,133.0,62.0,62.0,123.0,10.5,5.64
174,51.106901,30.129276,0.12,0.12,5.0,4.0,15.0,16.0,50.0,50.0,134.0,133.0,63.0,63.0,122.0,3.4,7.29
175,51.10657,30.12264,0.11,0.12,4.0,4.0,15.0,16.0,55.0,55.0,133.0,131.0,64.0,64.0,124.0,9.1,6.47
176,51.106865,30.109789,0.14,0.14,5.0,5.0,16.0,17.0,55.0,55.0,134.0,132.0,68.0,68.0,128.0,7.1,6.27
177,51.107079,30.095488,0.12,0.13,3.0,4.0,16.0,17.0,52.0,52.0,132.0,131.0,62.0,62.0,137.0,3.7,6.2
178,51.106864,30.080875,0.13,0.14,4.0,4.0,16.0,18.0,54.0,53.0,133.0,132.0,62.0,62.0,134.0,17.5,5.28
179,51.106864,30.066596,0.13,0.13,4.0,4.0,13.0,15.0,58.0,57.0,135.0,135.0,61.0,61.0,136.0,16.6,5.29
180,51.106856,30.052328,0.12,0.13,5.0,5.0,14.0,15.0,59.0,58.0,135.0,134.0,61.0,61.0,133.0,15.8,5.43
181,51.106864,30.038037,0.12,0.13,6.0,5.0,15.0,16.0,54.0,54.0,128.0,128.0,60.0,60.0,132.0,10.8,5.76
