spatial_group,n_rows,lat_min,lat_max,lon_min,lon_max
16_17,5,51.05862,51.070883,29.71945,29.738177
16_42,5,51.061889,51.07117,30.223663,30.23844
17_26,5,51.079876,51.088869,29.901488,29.909532
17_27,5,51.079876,51.096986,29.923812,29.938092
17_40,5,51.079876,51.09719,30.17918,30.1954
18_31,5,51.097872,51.115856,30.00948,30.018999
18_35,5,51.097872,51.115856,30.080875,30.095488
18_42,5,51.097423,51.115856,30.223663,30.23808
19_25,5,51.124842,51.133835,29.88057,29.895709
19_28,5,51.124069,51.132917,29.942845,29.957124
1_7,5,50.765112,50.77713,29.519238,29.538263
3_25,5,50.80187,50.816099,29.88097,29.89532
3_30,5,50.80111,50.810102,29.980922,29.995708
3_32,5,50.798112,50.810078,30.023769,30.038049
3_33,5,50.798112,50.810102,30.042797,30.052328
4_14,5,50.819071,50.83714,29.66121,29.676306
4_19,5,50.819071,50.83109,29.76647,29.77626
4_22,5,50.818589,50.837082,29.82307,29.838133
4_26,5,50.819071,50.837082,29.89986,29.909532
4_37,5,50.819096,50.837058,30.122386,30.138006
4_5,5,50.819071,50.837082,29.481144,29.495439
4_8,5,50.819096,50.837309,29.548931,29.55745
5_15,5,50.84008,50.855044,29.681059,29.695343
5_21,5,50.83742,50.855775,29.80456,29.814334
5_22,5,50.84361,50.855044,29.8196,29.838134
5_33,5,50.842974,50.855044,30.052328,30.057076
7_16,5,50.882044,50.8945,29.7048,29.71897
7_24,5,50.879047,50.891554,29.864841,29.87621
7_5,5,50.882024,50.897033,29.481023,29.495439
8_15,5,50.900031,50.909004,29.6809,29.695343
9_14,5,50.91794,50.936149,29.662026,29.66702
9_2,5,50.918015,50.93645,29.424026,29.438323
9_33,5,50.918015,50.936001,30.03905,30.052328
9_37,5,50.917997,50.935336,30.122566,30.138006
0_10,4,50.747125,50.756146,29.581102,29.595391
0_20,4,50.747125,50.756119,29.780948,29.795296
0_22,4,50.747154,50.756955,29.823854,29.838253
0_28,4,50.737316,50.756119,29.939606,29.95358
0_30,4,50.747125,50.756237,29.98093,29.994827
10_0,4,50.944955,50.953992,29.379777,29.395487
10_12,4,50.944977,50.953985,29.62395,29.638228
10_14,4,50.944977,50.95397,29.666779,29.67716
10_17,4,50.944993,50.953985,29.721931,29.738181
10_19,4,50.944993,50.956985,29.761979,29.766738
10_2,4,50.944977,50.95397,29.424026,29.438306
10_20,4,50.944977,50.953985,29.781017,29.795297
10_32,4,50.944993,50.953985,30.023759,30.038049
10_7,4,50.944993,50.954559,29.523983,29.539036
11_0,4,50.962981,50.971973,29.379607,29.395487
11_10,4,50.962981,50.971973,29.581112,29.595391
11_12,4,50.962964,50.971973,29.62394,29.638228
11_15,4,50.961887,50.971973,29.681065,29.695343
11_17,4,50.962964,50.971973,29.723898,29.73859
11_2,4,50.96295,50.971973,29.424044,29.438323
11_22,4,50.96257,50.971957,29.82359,29.838134
11_31,4,50.962981,50.974971,30.00841,30.01396
11_32,4,50.96253,50.971973,30.023759,30.039
11_4,4,50.959083,50.971957,29.46316,29.466881
11_5,4,50.962964,50.971957,29.48104,29.495424
11_6,4,50.971973,50.9752,29.509718,29.51458
12_0,4,50.980798,50.990267,29.379044,29.395467
12_11,4,50.980965,50.98957,29.600151,29.60994
12_12,4,50.98095,50.989958,29.62395,29.63822
12_15,4,50.98095,50.989943,29.681059,29.695338
